GCA_000807975.1|L747_04235	GCA_000833405.1|N624_2101	GCA_002017995.1|LG101_04940	GCA_002117225.1|AZI09_07150	GCA_002117325.1|AZI10_07490	GCA_002117345.1|AZI11_05660	GCA_002117375.1|AZI12_05705	GCA_002532155.1|OJNHFJDN_02015	GCA_003184305.1|CCS05_05705	GCA_006228205.1|UCCLBBS124_1016	GCA_006228225.1|SAC12_1027	GCA_006228245.1|UCCLB556_0915	GCA_006228265.1|UCCLB95_0944	GCA_006228285.1|UCCLBBS449_1461	GCA_006228305.1|UCCLB521_0913	GCA_006538845.1|LBR02_04100	GCA_006538905.1|LBR03_06560	GCA_009741845.1|GII22_05300	GCA_015238595.1|GNY08_04930	GCA_020509325.1|IAX23_01750	GCA_020741515.1|K8V89_06970	GCA_021383565.1|KB236_03110	GCA_021384395.1|LL940_08405	GCA_021384405.1|LL937_11265	GCA_021384415.1|LLM24_11545	GCA_021384445.1|LL939_11805	GCA_021384495.1|LL934_11605	GCA_021384505.1|LL942_08215	GCA_021384515.1|LL938_11375	GCA_021384555.1|LL945_08350	GCA_021384565.1|LL941_11280	GCA_021384595.1|LL943_11540	GCA_021384615.1|LL936_07325	GCA_024330045.1|NMO39_01585	GCA_025194305.1|EFR96_09720	GCA_025194385.1|EFS16_10930	GCA_025194405.1|EFS18_01470	GCA_025194465.1|EFS17_11505	GCA_025194515.1|EFS12_04465	GCA_025194545.1|EFS11_10945	GCA_025447255.1|N7L94_05160	GCA_026410225.1|OSJ94_03145	GCA_026622905.1|HJNLGKMP_01941	GCA_026626025.1|ORR04_01230	GCA_030378305.1|QTN53_04925	GCA_039839865.1|ABGN26_01790	GCA_900116945.1|NDEPAJBD_00380	GCA_900116975.1|HKAJCJDL_01745	GCA_900116995.1|IKIEPMFM_00932	GCA_900117015.1|BBJIONDP_01706	GCA_900117025.1|PHHBCBHJ_02442	GCA_900117045.1|KIFFLEHN_00217	GCA_902386565.1|JIJAMNCH_00290	GCA_925279105.1|FBDNDNPJ_00628	GCF_001010995.1|AAX72_RS01410	GCF_001923045.1|ADT67_RS10745	GCA_023744035.1|NE295_08615	GCF_001636145.1|AWV73_RS04645
GCA_925279105.1|FBDNDNPJ_01268	GCA_002117225.1|AZI09_01435	GCA_902386565.1|JIJAMNCH_01041	GCA_000807975.1|L747_12195	GCA_021384395.1|LL940_04285	GCA_002532155.1|OJNHFJDN_01290	GCA_000833405.1|N624_2658	GCA_021384495.1|LL934_03780	GCA_006538845.1|LBR02_01560	GCF_001923045.1|ADT67_RS04820	GCA_026410225.1|OSJ94_13170	GCA_900116975.1|HKAJCJDL_00053	GCA_026626025.1|ORR04_09895	GCA_900117045.1|KIFFLEHN_01172	GCA_020741515.1|K8V89_06320	GCA_021384515.1|LL938_04180	GCA_025194385.1|EFS16_04740	GCA_900116945.1|NDEPAJBD_00714	GCA_025194465.1|EFS17_10340	GCA_006228225.1|SAC12_2148	GCA_009741845.1|GII22_07300	GCA_006228245.1|UCCLB556_2015	GCF_001010995.1|AAX72_RS05050	GCA_900116995.1|IKIEPMFM_02486	GCA_025194515.1|EFS12_06750	GCA_021384415.1|LLM24_04180	GCA_025194405.1|EFS18_09540	GCA_006228265.1|UCCLB95_2088	GCA_021384405.1|LL937_04165	GCA_002017995.1|LG101_10150	GCA_021384615.1|LL936_03830	GCA_021384555.1|LL945_04245	GCA_039839865.1|ABGN26_03465	GCA_025194545.1|EFS11_03810	GCA_002117375.1|AZI12_11550	GCA_021384505.1|LL942_04075	GCA_003184305.1|CCS05_10940	GCA_030378305.1|QTN53_10605	GCA_006228305.1|UCCLB521_1905	GCA_023744035.1|NE295_02705	GCA_021384445.1|LL939_04635	GCA_000833405.1|N624_2659	GCA_025194305.1|EFR96_06990	GCA_006538905.1|LBR03_15280	GCA_021384565.1|LL941_03990	GCA_020509325.1|IAX23_09190	GCA_026622905.1|HJNLGKMP_00414	GCA_900117015.1|BBJIONDP_01524	GCA_024330045.1|NMO39_04105	GCA_006228285.1|UCCLBBS449_2221	GCA_015238595.1|GNY08_10715	GCA_025447255.1|N7L94_10830	GCA_900117025.1|PHHBCBHJ_01719	GCA_021384595.1|LL943_03275
GCA_021384395.1|LL940_00930	GCA_000807975.1|L747_10655	GCA_006228205.1|UCCLBBS124_0189	GCA_021384565.1|LL941_00175	GCA_006538905.1|LBR03_13700	GCA_000833405.1|N624_0566	GCA_002017995.1|LG101_00570	GCA_002117225.1|AZI09_11475	GCA_025194515.1|EFS12_02900	GCA_020741515.1|K8V89_03175	GCA_025194305.1|EFR96_02515	GCA_025194465.1|EFS17_01050	GCA_902386565.1|JIJAMNCH_00582	GCA_025194405.1|EFS18_05795	GCA_026622905.1|HJNLGKMP_00340	GCA_025194545.1|EFS11_02730	GCA_006228245.1|UCCLB556_0134	GCA_000833405.1|N624_0565	GCA_006228225.1|SAC12_0132	GCA_021384555.1|LL945_01750	GCA_039839865.1|ABGN26_09310	GCA_021384495.1|LL934_01680	GCA_021384515.1|LL938_00435	GCA_009741845.1|GII22_00260	GCA_021384595.1|LL943_00455	GCA_021384405.1|LL937_00435	GCA_900117015.1|BBJIONDP_00193	GCF_001010995.1|AAX72_RS02810	GCA_026410225.1|OSJ94_01145	GCA_024330045.1|NMO39_05810	GCA_021384505.1|LL942_01300	GCA_026626025.1|ORR04_08015	GCA_002532155.1|OJNHFJDN_00693	GCA_002117375.1|AZI12_00900	GCA_023744035.1|NE295_04525	GCF_001923045.1|ADT67_RS00285	GCA_030378305.1|QTN53_00690	GCA_900116995.1|IKIEPMFM_00834	GCA_020509325.1|IAX23_06590	GCA_002117345.1|AZI11_00890	GCA_006228305.1|UCCLB521_0123	GCA_015238595.1|GNY08_00595	GCA_021384445.1|LL939_01060	GCA_900116975.1|HKAJCJDL_00607	GCA_003184305.1|CCS05_01065	GCA_021384415.1|LLM24_00435	GCA_025447255.1|N7L94_00780	GCA_025194385.1|EFS16_00085	GCA_900117045.1|KIFFLEHN_00981	GCA_006228285.1|UCCLBBS449_0160	GCA_900117025.1|PHHBCBHJ_00187	GCA_006538845.1|LBR02_09270	GCA_002117325.1|AZI10_11835	GCA_925279105.1|FBDNDNPJ_01491
GCA_900117015.1|BBJIONDP_02079	GCA_021384565.1|LL941_06245	GCA_002117225.1|AZI09_09130	GCA_006228245.1|UCCLB556_0569	GCA_002117375.1|AZI12_03360	GCA_020741515.1|K8V89_02630	GCA_900117025.1|PHHBCBHJ_01990	GCA_023744035.1|NE295_06760	GCA_021384615.1|LL936_06025	GCA_025194405.1|EFS18_07240	GCA_021384515.1|LL938_06485	GCA_006538905.1|LBR03_08710	GCA_021384505.1|LL942_06785	GCA_025194305.1|EFR96_03060	GCA_000807975.1|L747_02050	GCA_006228205.1|UCCLBBS124_0658	GCA_015238595.1|GNY08_02860	GCA_006538845.1|LBR02_07200	GCA_020509325.1|IAX23_08190	GCA_025194545.1|EFS11_11930	GCA_026410225.1|OSJ94_05670	GCA_902386565.1|JIJAMNCH_00922	GCA_002117325.1|AZI10_09470	GCA_021384555.1|LL945_07025	GCA_002532155.1|OJNHFJDN_01726	GCA_900116995.1|IKIEPMFM_01348	GCF_001923045.1|ADT67_RS00635	GCA_900116945.1|NDEPAJBD_00442	GCA_025194385.1|EFS16_12945	GCA_026626025.1|ORR04_11370	GCA_003184305.1|CCS05_03430	GCA_021384495.1|LL934_06045	GCA_026622905.1|HJNLGKMP_00906	GCA_021384445.1|LL939_07225	GCA_006228305.1|UCCLB521_0561	GCA_025194545.1|EFS11_08665	GCA_024330045.1|NMO39_03280	GCA_925279105.1|FBDNDNPJ_00889	GCA_006228225.1|SAC12_0591	GCA_002117345.1|AZI11_03345	GCA_021384595.1|LL943_06545	GCA_025447255.1|N7L94_03150	GCA_006228285.1|UCCLBBS449_0656	GCA_021384405.1|LL937_06240	GCA_021384415.1|LLM24_06790	GCA_025194515.1|EFS12_07345	GCA_021384395.1|LL940_07065	GCA_900117045.1|KIFFLEHN_02265	GCF_001010995.1|AAX72_RS04485	GCA_900116975.1|HKAJCJDL_02472	GCA_039839865.1|ABGN26_02280	GCA_030378305.1|QTN53_03015	GCA_002017995.1|LG101_02895	GCA_025194465.1|EFS17_08465
GCA_024330045.1|NMO39_06310	GCA_002117345.1|AZI11_08890	GCA_002532155.1|OJNHFJDN_00381	GCA_902386565.1|JIJAMNCH_00646	GCA_006228205.1|UCCLBBS124_1690	GCA_020509325.1|IAX23_02545	GCA_025447255.1|N7L94_08300	GCA_030378305.1|QTN53_08095	GCA_002117325.1|AZI10_03900	GCA_000833405.1|N624_0317	GCA_020741515.1|K8V89_06665	GCA_021384395.1|LL940_03895	GCA_025194465.1|EFS17_03800	GCA_021384445.1|LL939_01750	GCA_025194385.1|EFS16_01775	GCA_000807975.1|L747_06960	GCA_900116975.1|HKAJCJDL_02372	GCA_006228225.1|SAC12_1647	GCA_925279105.1|FBDNDNPJ_01836	GCA_021384505.1|LL942_03545	GCA_006228245.1|UCCLB556_1508	GCA_021384565.1|LL941_00865	GCA_026622905.1|HJNLGKMP_01410	GCA_002117225.1|AZI09_03925	GCA_900117045.1|KIFFLEHN_02476	GCA_026410225.1|OSJ94_05200	GCA_015238595.1|GNY08_08280	GCA_025194305.1|EFR96_00135	GCA_021384495.1|LL934_02065	GCA_025194405.1|EFS18_02735	GCA_023744035.1|NE295_00375	GCA_900117015.1|BBJIONDP_02156	GCA_039839865.1|ABGN26_05130	GCA_021384555.1|LL945_03685	GCA_009741845.1|GII22_08915	GCA_000833405.1|N624_0318	GCA_006538845.1|LBR02_05000	GCA_021384515.1|LL938_00805	GCA_006228305.1|UCCLB521_1434	GCA_021384415.1|LLM24_00865	GCA_025194515.1|EFS12_00800	GCA_021384405.1|LL937_00800	GCA_006538905.1|LBR03_11100	GCA_900116945.1|NDEPAJBD_01727	GCA_025194545.1|EFS11_09595	GCA_021384615.1|LL936_02840	GCA_900117025.1|PHHBCBHJ_02674	GCA_026626025.1|ORR04_04310	GCF_001923045.1|ADT67_RS05500	GCA_900116995.1|IKIEPMFM_01992	GCA_003184305.1|CCS05_08545	GCF_001010995.1|AAX72_RS03125	GCA_021384595.1|LL943_00890	GCA_002017995.1|LG101_07670
GCF_001923045.1|ADT67_RS11520	GCA_025194405.1|EFS18_01725	GCA_002532155.1|OJNHFJDN_00980	GCA_021384405.1|LL937_08945	GCA_021384495.1|LL934_09190	GCA_039839865.1|ABGN26_08285	GCA_021384565.1|LL941_08955	GCA_021384395.1|LL940_06120	GCA_026410225.1|OSJ94_08860	GCA_023744035.1|NE295_07360	GCA_006228205.1|UCCLBBS124_0781	GCA_900116945.1|NDEPAJBD_01262	GCA_002117375.1|AZI12_03975	GCA_025194515.1|EFS12_07945	GCA_021384505.1|LL942_05740	GCA_025194305.1|EFR96_04145	GCA_925279105.1|FBDNDNPJ_01012	GCA_006538905.1|LBR03_09930	GCA_021384415.1|LLM24_09345	GCF_001010995.1|AAX72_RS10320	GCA_006228285.1|UCCLBBS449_0786	GCA_025447255.1|N7L94_03775	GCA_900116945.1|NDEPAJBD_01261	GCA_006228305.1|UCCLB521_0682	GCA_025194385.1|EFS16_07225	GCA_021384615.1|LL936_04925	GCA_021384555.1|LL945_05740	GCA_021384445.1|LL939_09685	GCA_026622905.1|HJNLGKMP_00782	GCA_021384515.1|LL938_08965	GCA_902386565.1|JIJAMNCH_02136	GCA_900117045.1|KIFFLEHN_00961	GCA_009741845.1|GII22_09295	GCA_006228265.1|UCCLB95_1566	GCA_025194465.1|EFS17_07395	GCA_900117015.1|BBJIONDP_00723	GCA_030378305.1|QTN53_03620	GCA_026626025.1|ORR04_11990	GCA_024330045.1|NMO39_02680	GCA_006228225.1|SAC12_0713	GCA_006228245.1|UCCLB556_0685	GCA_002017995.1|LG101_03490	GCA_025194545.1|EFS11_07200	GCA_015238595.1|GNY08_03470	GCA_900117025.1|PHHBCBHJ_01939	GCA_020741515.1|K8V89_02955	GCA_021384595.1|LL943_09245	GCA_002117325.1|AZI10_08845	GCA_000833405.1|N624_1285	GCA_000807975.1|L747_02695	GCA_002117225.1|AZI09_08505	GCA_002117345.1|AZI11_03955	GCA_003184305.1|CCS05_04060	GCA_020509325.1|IAX23_07590
GCA_026410225.1|OSJ94_12670	GCA_002532155.1|OJNHFJDN_00625	GCA_002017995.1|LG101_09520	GCA_021384415.1|LLM24_08610	GCA_023744035.1|NE295_02085	GCA_020509325.1|IAX23_08440	GCA_925279105.1|FBDNDNPJ_00316	GCA_021384515.1|LL938_08265	GCA_002117225.1|AZI09_02170	GCA_030378305.1|QTN53_09960	GCA_026626025.1|ORR04_10535	GCA_900116995.1|IKIEPMFM_01535	GCA_021384615.1|LL936_08185	GCA_021384505.1|LL942_08790	GCA_900116975.1|HKAJCJDL_00912	GCA_900117015.1|BBJIONDP_01335	GCA_025194305.1|EFR96_06420	GCA_006228245.1|UCCLB556_1843	GCA_900116945.1|NDEPAJBD_01950	GCA_025194545.1|EFS11_00765	GCA_025194465.1|EFS17_05380	GCA_002117325.1|AZI10_02145	GCA_020741515.1|K8V89_10675	GCA_021384565.1|LL941_08170	GCA_021384445.1|LL939_08955	GCA_002117375.1|AZI12_10825	GCA_025194385.1|EFS16_07535	GCA_039839865.1|ABGN26_08945	GCF_001010995.1|AAX72_RS09670	GCA_003184305.1|CCS05_10250	GCA_025447255.1|N7L94_10175	GCA_021384595.1|LL943_08510	GCA_025194515.1|EFS12_08480	GCA_009741845.1|GII22_00625	GCA_015238595.1|GNY08_10065	GCA_025194545.1|EFS11_12445	GCA_900117045.1|KIFFLEHN_00724	GCA_006228265.1|UCCLB95_0369	GCA_006228205.1|UCCLBBS124_2062	GCA_006228285.1|UCCLBBS449_2091	GCA_006228225.1|SAC12_2020	GCA_021384495.1|LL934_08980	GCA_900117025.1|PHHBCBHJ_02279	GCA_021384405.1|LL937_08160	GCA_025194405.1|EFS18_13255	GCA_026622905.1|HJNLGKMP_00497	GCA_021384555.1|LL945_08935	GCA_902386565.1|JIJAMNCH_02004	GCF_001923045.1|ADT67_RS09885	GCA_024330045.1|NMO39_02505	GCA_006538905.1|LBR03_10740	GCA_021384395.1|LL940_08950	GCA_006228305.1|UCCLB521_1780	GCA_006538845.1|LBR02_16290
GCA_021384565.1|LL941_01815	GCA_002117225.1|AZI09_05990	GCA_900116975.1|HKAJCJDL_01343	GCA_026410225.1|OSJ94_12640	GCA_006538845.1|LBR02_08500	GCA_002117345.1|AZI11_06850	GCA_021384405.1|LL937_02085	GCA_025447255.1|N7L94_06300	GCA_021384415.1|LLM24_01820	GCA_020741515.1|K8V89_08250	GCA_023744035.1|NE295_09615	GCA_003184305.1|CCS05_06825	GCA_902386565.1|JIJAMNCH_01388	GCA_021384555.1|LL945_02780	GCF_001923045.1|ADT67_RS03120	GCA_015238595.1|GNY08_05980	GCA_900117025.1|PHHBCBHJ_00833	GCA_021384595.1|LL943_01775	GCA_026410225.1|OSJ94_12440	GCA_006228205.1|UCCLBBS124_1260	GCA_024330045.1|NMO39_01160	GCA_900117015.1|BBJIONDP_00876	GCA_002117325.1|AZI10_06330	GCA_009741845.1|GII22_09840	GCA_900117045.1|KIFFLEHN_00390	GCA_025194305.1|EFR96_01325	GCA_002117375.1|AZI12_06900	GCA_021384495.1|LL934_03015	GCA_006228305.1|UCCLB521_1116	GCA_925279105.1|FBDNDNPJ_01975	GCA_021384395.1|LL940_02985	GCA_006228265.1|UCCLB95_1143	GCA_025194465.1|EFS17_09975	GCA_021384515.1|LL938_01825	GCA_021384615.1|LL936_01340	GCA_006538905.1|LBR03_04760	GCA_030378305.1|QTN53_05980	GCA_006228225.1|SAC12_1233	GCA_039839865.1|ABGN26_05665	GCA_021384445.1|LL939_02375	GCA_020509325.1|IAX23_12220	GCA_900116995.1|IKIEPMFM_01408	GCA_002532155.1|OJNHFJDN_01870	GCA_021384505.1|LL942_02780	GCA_900116945.1|NDEPAJBD_01660	GCA_026622905.1|HJNLGKMP_00563	GCA_000807975.1|L747_05250	GCA_025194515.1|EFS12_11745	GCA_026626025.1|ORR04_02270	GCA_025194545.1|EFS11_03510	GCF_001010995.1|AAX72_RS06720	GCA_006228285.1|UCCLBBS449_1243	GCA_002017995.1|LG101_05985	GCA_006228245.1|UCCLB556_1122
GCA_021384515.1|LL938_04970	GCA_026622905.1|HJNLGKMP_01249	GCA_006228225.1|SAC12_0493	GCA_021384495.1|LL934_04750	GCA_021384555.1|LL945_08280	GCF_001010995.1|AAX72_RS05810	GCA_021384395.1|LL940_08320	GCA_000833405.1|N624_1023	GCA_900116945.1|NDEPAJBD_01091	GCA_006538905.1|LBR03_20670	GCA_026626025.1|ORR04_06220	GCA_015238595.1|GNY08_02330	GCA_021384505.1|LL942_08040	GCA_020741515.1|K8V89_07405	GCA_021384405.1|LL937_05055	GCA_900116995.1|IKIEPMFM_00036	GCA_021384565.1|LL941_04955	GCA_006228265.1|UCCLB95_1811	GCA_030378305.1|QTN53_02455	GCA_026410225.1|OSJ94_06465	GCA_021384615.1|LL936_05575	GCA_021384445.1|LL939_05320	GCA_025194465.1|EFS17_10715	GCA_025447255.1|N7L94_02615	GCA_025194385.1|EFS16_10085	GCA_006228245.1|UCCLB556_0471	GCA_006228305.1|UCCLB521_0462	GCA_021384415.1|LLM24_04965	GCA_009741845.1|GII22_08020	GCA_902386565.1|JIJAMNCH_01202	GCA_002117225.1|AZI09_09660	GCA_021384595.1|LL943_04530	GCA_006538845.1|LBR02_19730	GCA_900117025.1|PHHBCBHJ_02019	GCA_020509325.1|IAX23_05590	GCF_001923045.1|ADT67_RS01215	GCA_925279105.1|FBDNDNPJ_01360	GCA_002532155.1|OJNHFJDN_00684	GCA_006228205.1|UCCLBBS124_0555	GCA_002117345.1|AZI11_02770	GCA_900117015.1|BBJIONDP_00114	GCA_002117325.1|AZI10_10010	GCA_025194515.1|EFS12_06045	GCA_002017995.1|LG101_02365	GCA_024330045.1|NMO39_06700	GCA_025194405.1|EFS18_10750	GCA_023744035.1|NE295_06285	GCA_900117045.1|KIFFLEHN_01443	GCA_000807975.1|L747_08665	GCA_003184305.1|CCS05_02880	GCA_006228285.1|UCCLBBS449_0550	GCA_006538905.1|LBR03_20660	GCA_900116975.1|HKAJCJDL_01120	GCA_025194305.1|EFR96_11315
GCA_006228265.1|UCCLB95_0289	GCA_002117345.1|AZI11_01660	GCA_006538905.1|LBR03_01400	GCA_025194545.1|EFS11_02145	GCA_003184305.1|CCS05_01870	GCF_001010995.1|AAX72_RS09240	GCA_015238595.1|GNY08_01320	GCA_002532155.1|OJNHFJDN_02400	GCA_900116975.1|HKAJCJDL_00561	GCA_000807975.1|L747_09800	GCA_021384415.1|LLM24_03370	GCA_026626025.1|ORR04_07240	GCA_021384565.1|LL941_03195	GCA_925279105.1|FBDNDNPJ_00433	GCA_902386565.1|JIJAMNCH_01914	GCA_024330045.1|NMO39_03545	GCA_021384445.1|LL939_03455	GCA_006228285.1|UCCLBBS449_0335	GCA_900117045.1|KIFFLEHN_00500	GCA_020509325.1|IAX23_06215	GCA_006228245.1|UCCLB556_0278	GCA_021384515.1|LL938_03205	GCA_021384495.1|LL934_01025	GCA_006228305.1|UCCLB521_0270	GCA_025194515.1|EFS12_05615	GCA_025194465.1|EFS17_05815	GCA_900116995.1|IKIEPMFM_02528	GCA_025194405.1|EFS18_12385	GCA_900117015.1|BBJIONDP_02427	GCA_025194405.1|EFS18_11930	GCA_026622905.1|HJNLGKMP_00179	GCA_021384615.1|LL936_00850	GCA_021384405.1|LL937_03195	GCA_006538845.1|LBR02_12600	GCA_021384395.1|LL940_01610	GCA_021384555.1|LL945_00975	GCA_025194385.1|EFS16_08440	GCF_001923045.1|ADT67_RS03350	GCA_021384505.1|LL942_01070	GCA_025194305.1|EFR96_01775	GCA_026410225.1|OSJ94_07245	GCA_002017995.1|LG101_01320	GCA_900116945.1|NDEPAJBD_00215	GCA_009741845.1|GII22_04500	GCA_006228225.1|SAC12_0282	GCA_025447255.1|N7L94_01540	GCA_023744035.1|NE295_05265	GCA_020741515.1|K8V89_03920	GCA_000833405.1|N624_0770	GCA_021384595.1|LL943_02475	GCA_900117025.1|PHHBCBHJ_01502	GCA_006228205.1|UCCLBBS124_0344	GCA_039839865.1|ABGN26_00970	GCA_030378305.1|QTN53_01430
GCA_021384595.1|LL943_06410	GCA_006228205.1|UCCLBBS124_2434	GCA_021384415.1|LLM24_06535	GCA_002017995.1|LG101_10730	GCA_039839865.1|ABGN26_02870	GCA_025194405.1|EFS18_05185	GCA_006228245.1|UCCLB556_2137	GCA_006228225.1|SAC12_2267	GCF_001010995.1|AAX72_RS04240	GCA_025447255.1|N7L94_11530	GCA_002532155.1|OJNHFJDN_00531	GCA_900117045.1|KIFFLEHN_00136	GCA_006538845.1|LBR02_19870	GCA_902386565.1|JIJAMNCH_00870	GCA_021384395.1|LL940_06925	GCA_000807975.1|L747_12845	GCA_026626025.1|ORR04_09240	GCA_900116975.1|HKAJCJDL_00899	GCA_025194545.1|EFS11_03585	GCA_015238595.1|GNY08_11310	GCA_030378305.1|QTN53_11250	GCA_025194515.1|EFS12_02285	GCF_001923045.1|ADT67_RS05950	GCA_006228285.1|UCCLBBS449_2363	GCA_025194385.1|EFS16_05220	GCA_900116945.1|NDEPAJBD_02331	GCA_900116995.1|IKIEPMFM_01236	GCA_006228305.1|UCCLB521_2032	GCA_002117225.1|AZI09_00820	GCA_020509325.1|IAX23_10140	GCA_020741515.1|K8V89_00480	GCA_020509325.1|IAX23_07140	GCA_002117375.1|AZI12_12210	GCA_021384405.1|LL937_06105	GCA_021384445.1|LL939_07085	GCA_900117025.1|PHHBCBHJ_00731	GCA_021384555.1|LL945_06770	GCA_000833405.1|N624_0213	GCA_002117345.1|AZI11_12180	GCA_026410225.1|OSJ94_07705	GCA_900117015.1|BBJIONDP_01917	GCA_021384515.1|LL938_06225	GCA_025194465.1|EFS17_01240	GCA_021384565.1|LL941_06110	GCA_003184305.1|CCS05_11540	GCA_006538905.1|LBR03_12810	GCA_024330045.1|NMO39_09700	GCA_002117325.1|AZI10_00815	GCA_006228265.1|UCCLB95_2220	GCA_026622905.1|HJNLGKMP_02043	GCA_021384615.1|LL936_10970	GCA_023744035.1|NE295_03280	GCA_021384495.1|LL934_06850	GCA_021384505.1|LL942_06645
GCA_025447255.1|N7L94_11540	GCA_000807975.1|L747_12855	GCA_000833405.1|N624_0215	GCA_002117225.1|AZI09_00810	GCA_002117325.1|AZI10_00805	GCA_002117345.1|AZI11_12190	GCA_002117375.1|AZI12_12220	GCA_002532155.1|OJNHFJDN_00533	GCA_003184305.1|CCS05_11550	GCA_006228205.1|UCCLBBS124_2432	GCA_006228265.1|UCCLB95_2222	GCA_006228285.1|UCCLBBS449_2365	GCA_020741515.1|K8V89_00490	GCA_025194465.1|EFS17_01250	GCA_900116945.1|NDEPAJBD_02333	GCA_900116975.1|HKAJCJDL_00897	GCA_900116995.1|IKIEPMFM_01234	GCA_900117015.1|BBJIONDP_01915	GCA_900117025.1|PHHBCBHJ_00729	GCA_900117045.1|KIFFLEHN_00134	GCF_001923045.1|ADT67_RS05940	GCA_024330045.1|NMO39_09690	GCA_026626025.1|ORR04_09230	GCA_002017995.1|LG101_10740	GCA_006228225.1|SAC12_2269	GCA_006228245.1|UCCLB556_2139	GCA_006228305.1|UCCLB521_2034	GCA_006538845.1|LBR02_19890	GCA_006538905.1|LBR03_12790	GCA_015238595.1|GNY08_11320	GCA_020509325.1|IAX23_07130	GCA_020509325.1|IAX23_10150	GCA_021384405.1|LL937_06095	GCA_021384415.1|LLM24_06545	GCA_021384445.1|LL939_07075	GCA_021384495.1|LL934_06860	GCA_021384515.1|LL938_06235	GCA_021384565.1|LL941_06100	GCA_021384595.1|LL943_06400	GCA_021384615.1|LL936_10980	GCA_023744035.1|NE295_03290	GCA_025194385.1|EFS16_05230	GCA_025194405.1|EFS18_05175	GCA_025194515.1|EFS12_02275	GCA_025194545.1|EFS11_03595	GCA_026410225.1|OSJ94_07695	GCA_026622905.1|HJNLGKMP_01039	GCA_030378305.1|QTN53_11260	GCA_039839865.1|ABGN26_02860	GCA_902386565.1|JIJAMNCH_00872	GCF_001010995.1|AAX72_RS04250	GCA_021384395.1|LL940_06915	GCA_021384505.1|LL942_06635	GCA_021384555.1|LL945_06780
GCA_021384595.1|LL943_04860	GCA_006228225.1|SAC12_1543	GCA_021384515.1|LL938_05145	GCA_020509325.1|IAX23_10610	GCA_900116975.1|HKAJCJDL_01200	GCA_023744035.1|NE295_10680	GCA_006538905.1|LBR03_02600	GCA_025194515.1|EFS12_05970	GCA_002017995.1|LG101_07070	GCA_002117325.1|AZI10_05200	GCA_025194305.1|EFR96_05370	GCA_006538845.1|LBR02_12730	GCA_025194465.1|EFS17_07790	GCA_021384555.1|LL945_04950	GCA_003184305.1|CCS05_07935	GCA_021384565.1|LL941_05130	GCA_900116945.1|NDEPAJBD_02465	GCA_025194405.1|EFS18_11620	GCA_015238595.1|GNY08_07680	GCA_030378305.1|QTN53_07490	GCA_021384615.1|LL936_11845	GCA_025447255.1|N7L94_07675	GCA_026410225.1|OSJ94_00320	GCA_006228305.1|UCCLB521_1333	GCA_002117345.1|AZI11_07935	GCA_009741845.1|GII22_03685	GCA_000833405.1|N624_1596	GCA_020741515.1|K8V89_02045	GCA_900117025.1|PHHBCBHJ_01309	GCA_006228245.1|UCCLB556_1408	GCA_006228285.1|UCCLBBS449_1017	GCA_021384395.1|LL940_05005	GCA_026622905.1|HJNLGKMP_01205	GCA_900116945.1|NDEPAJBD_02466	GCA_925279105.1|FBDNDNPJ_01085	GCA_025194545.1|EFS11_06330	GCF_001010995.1|AAX72_RS12465	GCA_900117015.1|BBJIONDP_01079	GCA_021384405.1|LL937_05125	GCA_902386565.1|JIJAMNCH_02573	GCA_026626025.1|ORR04_03705	GCA_021384495.1|LL934_04980	GCA_021384505.1|LL942_04950	GCA_039839865.1|ABGN26_04855	GCA_025194385.1|EFS16_13110	GCA_024330045.1|NMO39_09480	GCA_002117375.1|AZI12_07985	GCA_021384445.1|LL939_05550	GCA_002532155.1|OJNHFJDN_00724	GCA_900116995.1|IKIEPMFM_00627	GCA_002117225.1|AZI09_04870	GCA_900117045.1|KIFFLEHN_01815	GCA_006228205.1|UCCLBBS124_1584	GCA_021384415.1|LLM24_05295
